ID_Destino,ID_Origen,Aereolinea,ID_Aereolinea
1562,1190,AP,240
3368,3378,3U,4608
4113,3645,DL,2009
1551,2948,AP,240
3157,3121,FD,4947
1525,680,FR,4296
345,2988,LH,3320
346,1519,AB,214
7447,465,TCX,4897
1386,1412,A5,1203
5,2397,PX,328
3682,4014,AF,137
3959,585,W6,5461
4029,2923,S7,4329
2647,2642,H2,4737
3819,3550,UA,5209
1561,1489,W6,5461
813,6778,SA,4305
293,337,TU,4870
3861,3566,FL,1316
3448,4025,9K,1629
63,65,AC,330
2090,2064,SV,4533
277,260,W3,20976
4216,3536,DL,2009
3953,4317,BT,333
3304,3385,CZ,1767
2997,3063,6E,2850
346,1064,DE,1868
1460,341,AB,214
799,979,SA,4305
3494,3570,UA,5209
2985,3370,CZ,1767
3860,7196,GV,386
3855,3830,AA,24
2874,2891,BA,1355
3861,3502,FL,1316
3930,4381,JL,2987
3908,3898,JT,3290
3714,3863,UA,5209
2064,2206,PK,3871
1354,491,U2,2297
1230,585,FR,4296
6356,3382,EU,2193
8235,2082,XY,3754
3384,6341,KN,10741
2979,2992,U6,5234
3682,5738,AF,137
1354,603,FR,4296
6400,3374,CA,751
1779,2902,BW,1663
2313,2295,NH,324
3636,3577,AS,439
1053,1054,NT,1539
3069,3885,RX,19676
664,3953,W6,5461
7076,3536,DL,2009
679,708,W6,5461
1354,1638,TP,4869
1360,478,FR,4296
3877,156,AA,24
534,337,U2,2297
3462,3577,AA,24
1739,1743,JU,19582
2064,8076,FZ,14485
3388,3394,8L,2942
3819,3877,G4,35
146,2878,AC,330
3494,1892,AV,515
3670,3515,NK,4687
3941,1458,A3,96
2264,3383,AE,3392
3448,3697,AA,24
3484,580,DL,2009
1665,1489,U2,2297
3376,3383,CA,751
146,3878,AC,330
1196,492,W6,5461
1212,502,BA,1355
2167,2131,EP,2923
2560,2650,JJ,4867
609,1529,SK,4319
2006,2009,JQ,3052
1852,1842,Y4,5325
146,1638,TS,1317
337,1520,U2,2297
3752,3641,AA,24
3121,4140,5J,1683
4315,490,U2,2297
3199,2397,5J,1683
87,3577,AS,439
1678,1208,LX,4559
3858,3498,DL,2009
2082,2188,EK,2183
3364,1107,CA,751
3711,3697,DL,2009
193,4304,BW,1663
67,115,JV,1434
3205,2372,KE,3163
5421,5425,CG,1308
3645,4037,DL,2009
1517,1367,FR,4296
1665,1324,U2,2297
6197,3239,6T,5813
3395,3382,3U,4608
3682,1852,AF,137
1075,1335,AT,4248
1824,3550,AM,321
6837,5765,DL,2009
3731,3536,AS,439
3942,3368,JL,2987
1679,1558,3L,2916
1613,1739,JU,19582
1678,3877,LX,4559
1678,1701,LX,4559
2939,580,KL,3090
3118,3116,QV,3233
1701,1741,TK,4951
708,671,W6,5461
3830,679,LO,3210
1225,494,FR,4296
3898,3903,JT,3290
3857,3849,FL,1316
580,2564,KL,3090
6356,3406,MU,1758
3205,6195,BL,3850
599,669,FR,4296
6219,3266,MH,3378
4200,2397,2P,897
1515,1545,FR,4296
3577,3839,AS,439
193,189,AC,330
3135,3131,9W,3000
2548,2537,AD,13983
1701,2979,7J,9531
1655,1613,OS,491
1638,340,ET,2220
4030,3370,CZ,1767
2564,951,DT,5133
502,2875,BA,1355
2136,2167,IR,2922
193,2279,AC,330
3678,3797,DL,2009
813,906,BA,1355
548,1460,FR,4296
1220,1218,IB,2822
1250,1218,IB,2822
1230,1678,LX,4559
3382,3371,3U,4608
3458,3830,AA,24
1678,1706,XQ,4573
1562,737,DY,3737
3751,3784,UA,5209
3137,2064,IX,569
2287,2305,BC,4740
1435,1555,A5,1203
3670,3578,AA,24
1190,1524,AP,240
345,580,AZ,596
552,498,BE,2421
1626,4198,FR,4296
2170,3797,AA,24
1212,1216,IB,2822
2359,2275,BR,2091
1354,287,TU,4870
421,743,AY,2350
3998,596,EI,837
3731,3469,UA,5209
4029,3971,A9,2538
4023,3645,DL,2009
1693,4317,PC,3926
1646,4317,PC,3926
2877,2899,3S,11741
3714,3752,UA,5209
4374,4352,Y7,13088
1218,1403,IB,2822
342,1230,AB,214
679,1206,K2,2245
3550,3576,AA,24
3697,3646,B6,3029
3275,3294,GA,2520
2347,3943,BC,4740
3849,3627,FL,1316
1127,1136,MS,2143
3876,1957,AA,24
116,178,AC,330
7088,7190,7H,16726
49,196,5T,1623
3388,3406,MU,1758
2939,1472,PS,5282
2072,2096,SV,4533
4059,1138,5H,8576
3940,6204,GA,2520
591,4315,HV,5039
517,495,T3,2117
1103,502,TO,8745
1173,1107,ET,2220
2925,4078,6R,1340
3582,3673,B6,3029
3670,3867,AA,24
1423,1561,U2,2297
4153,3199,VJ,5651
351,1382,AF,137
6147,2990,SZ,10122
521,490,U2,2297
1555,8832,V3,1669
3972,2940,WU,13757
1802,1847,Y4,5325
1229,1590,IB,2822
3050,3043,6E,2850
4144,3364,CA,751
3645,4359,DL,2009
4309,1515,FR,4296
1236,492,FR,4296
3294,3308,FY,2353
3999,3322,JQ,3052
1739,4317,JU,19582
952,951,DT,5133
3371,3930,CZ,1767
3469,3626,FL,1316
193,3570,AC,330
3817,3673,FL,1316
2988,4357,UN,5067
3341,6298,ZL,4178
1423,669,U2,2297
6355,6744,G5,15837
680,340,LH,3320
5645,6779,SW,153
3390,3077,CX,1680
1638,3448,S4,4304
3379,6391,SC,4599
3024,3930,KE,3163
6350,6341,KN,10741
5567,529,LM,3287
3361,2042,EK,2183
3374,4144,9C,15999
3384,3077,MU,1758
3361,6300,QF,4089
7355,2751,9R,4691
1555,3494,LH,3320
3682,4359,AF,137
3875,3533,3M,20710
1458,4029,A3,96
3395,340,CA,751
1074,2188,EK,2183
1253,1562,FR,4296
4033,3379,8L,2942
2313,3992,MM,17675
3371,3885,CZ,1767
591,1715,HV,5039
478,1157,LN,3258
2709,1767,AV,515
548,1545,FR,4296
193,609,AC,330
467,523,BE,2421
340,1520,LH,3320
2891,2874,BA,1355
687,1701,SK,4319
2985,2964,SU,130
3615,7184,7H,16726
1739,373,W6,5461
1461,1480,A3,96
548,1335,U2,2297
3395,6387,FM,4609
490,669,U2,2297
6347,4380,JD,6557
5780,1682,PC,3926
2082,3977,IY,5496
2908,1701,KC,1006
4078,2910,KC,1006
6969,2948,2B,410
1562,585,FR,4296
1779,3682,DL,2009
1551,507,AA,24
2948,6150,HY,5281
1386,1665,U2,2297
1382,492,U2,2297
3300,3408,FY,2353
502,665,DY,3737
1194,1246,W6,5461
1054,1423,AB,214
665,644,DY,3737
3747,4019,FL,1316
1386,1321,AF,137
636,3959,W6,5461
3940,3928,GA,2520
3316,1382,AF,137
3720,3797,B6,3029
3361,6249,ZL,4178
3406,3383,9C,15999
3885,3390,SC,4599
373,2944,WU,13757
3199,2279,AA,24
1587,502,U2,2297
193,2789,AC,330
4309,1509,V7,20577
1524,1418,A5,1203
2709,2751,9R,4691
3494,3752,AA,24
2578,2525,AD,13983
6347,3384,GS,690
3752,3745,AA,24
3728,3797,HA,2688
632,649,WF,5439
5594,737,W2,18553
1084,897,3G,595
3931,3930,8B,17408
3462,3849,AA,24
1382,1273,AF,137
1229,1072,FR,4296
2560,2545,G3,1790
3391,6391,MU,1758
3388,2268,B7,9082
1508,1539,FR,4296
3093,3002,9W,3000
3136,3156,SG,4375
4129,3714,UA,5209
665,5581,WF,5439
2082,5691,XY,3754
3626,3566,FL,1316
3731,3720,AA,24
3520,3858,AA,24
3384,3391,FM,4609
3885,580,BR,2091
11051,273,QR,4091
3136,2191,9W,3000
1824,1829,4O,17885
6345,3379,GS,690
302,3998,FR,4296
585,1246,HV,5039
3941,4317,PC,3926
3956,502,FR,4296
4075,1989,VT,692
3034,2276,BR,2091
1909,2985,CU,1936
8979,6943,BK,4026
4322,1613,OS,491
3388,3373,CA,751
2933,2985,SU,130
2042,2037,NZ,345
2121,4331,B9,543
3134,3131,SG,4375
3877,3473,DL,2009
3395,2275,3U,4608
4157,3199,VN,5309
6394,6386,GS,690
3275,3910,IL,10121
2985,1579,OK,1946
609,1230,DY,3737
699,1367,FR,4296
1721,1701,8Q,3788
1246,478,FR,4296
580,3973,A9,2538
3752,3611,AA,24
3714,2176,UA,5209
813,984,SA,4305
3717,3645,DL,2009
3929,3304,AK,576
3406,2381,MU,1758
2590,2578,AD,13983
1737,1678,4T,1401
146,56,AC,330
6392,4120,NS,16136
3964,2993,QN,426
3734,3577,AA,24
2618,4215,G3,1790
189,3494,UA,5209
629,351,LG,3329
3714,2890,UA,5209
1515,3956,FR,4296
1742,1208,OU,1925
499,469,BE,2421
2749,2743,9R,4691
906,5604,SA,4305
1128,3370,CA,751
3973,346,LH,3320
5750,3720,UA,5209
1804,1824,4O,17885
3536,3797,B6,3029
3389,2264,GE,5038
1524,1509,AP,240
3035,2397,5J,1683
1626,596,EI,837
3878,340,LH,3320
2531,2616,G3,1790
2586,2538,G3,1790
3864,3486,UA,5209
2397,4206,5J,1683
591,1246,HV,5039
1229,1246,AY,2350
1054,1057,NT,1539
3941,1454,A3,96
3752,1754,AA,24
1538,1253,FR,4296
2541,2555,NHG,3574
6079,2874,5M,4436
1760,3678,F9,2468
3566,3670,AA,24
3858,3673,DL,2009
3391,3372,FM,4609
2564,2621,AD,13983
1175,6768,J4,10737
737,4330,EP,2923
2910,6084,DV,4840
7862,3382,8L,2942
1814,1807,AM,321
3380,6373,MR,13335
3714,146,AC,330
1626,355,FR,4296
3577,3494,AA,24
3373,3382,8L,2942
664,1688,DY,3737
2874,2877,LI,3251
1613,3959,OS,491
3998,1553,FR,4296
1613,669,LO,3210
4317,9044,PC,3926
4374,2985,SU,130
632,4327,WF,5439
3751,3743,F9,2468
352,580,AZ,596
3494,3714,UA,5209
1754,3576,AA,24
2082,2057,GF,2638
2960,6150,U6,5234
2947,2191,G9,329
3235,3239,6T,5813
3395,6357,CA,751
27,111,Q9,11838
287,1613,TU,4870
146,192,AC,330
3404,3390,CA,751
4214,7376,2Z,1729
3896,3903,JT,3290
1230,737,DY,3737
1538,1606,FR,4296
585,3941,HV,5039
340,3469,LH,3320
3298,3408,FY,2353
1892,1774,AV,515
3697,3561,DL,2009
628,609,DY,3737
2090,2059,SV,4533
3830,3456,UA,5209
3678,3751,F9,2468
4034,3690,WN,4547
3024,3382,MU,1758
3469,1836,AA,24
478,1054,FR,4296
2996,3093,AI,218
4206,3930,5J,1683
1382,2177,AF,137
2072,1524,AZ,596
3728,3942,AA,24
2939,2910,KC,1006
1212,508,U2,2297
1918,1923,TS,1317
3878,2564,AA,24
2954,3973,B2,1478
5588,632,WF,5439
1066,1353,FR,4296
3406,3369,HU,2660
521,4057,TCX,4897
1807,1792,AM,321
3930,3375,CZ,1767
4209,2612,AD,13983
4331,2057,GF,2638
2988,3364,UN,5067
3751,3840,FL,1316
3361,6271,ZL,4178
3199,3373,MU,1758
4319,3999,QF,4089
238,244,AH,794
469,521,T3,2117
1074,1128,AT,4248
1187,813,SA,4305
6434,3376,GS,690
3376,4302,CZ,1767
3364,8781,MU,1758
3774,3577,AS,439
2604,2621,O6,3764
3239,6197,6T,5813
4029,2914,DV,4840
3448,3731,AA,24
2926,2934,IOS,2951
4317,502,TK,4951
1213,1058,IB,2822
2276,3992,3K,3021
1229,302,AM,321
1636,548,FR,4296
3830,4117,UA,5209
1209,548,FR,4296
3484,1678,LX,4559
2179,2191,SD,4521
580,1230,HV,5039
4063,3550,UA,5209
3559,3621,WN,4547
11051,1187,QR,4091
3368,3370,BK,4026
1458,348,AB,214
3731,3849,FL,1316
1701,2954,B2,1478
4007,3682,AF,137
599,1460,EI,837
2346,2334,JL,2987
4089,3646,WN,4547
3867,3857,FL,1316
2934,3364,S7,4329
4008,3714,UA,5209
4206,4201,5J,1683
6718,3774,7H,16726
1871,3670,AA,24
2947,2988,UN,5067
4111,2992,UR,15814
3697,3627,AA,24
1771,1926,KX,1682
2279,2006,NH,324
3752,3830,AA,24
2170,1382,AF,137
132,160,5T,1623
2960,4029,6R,1340
674,599,FR,4296
1074,1218,3O,9818
699,1230,FR,4296
491,3998,FR,4296
3370,2279,CA,751
599,494,EI,837
2621,2610,AD,13983
4020,3751,F9,2468
3682,3636,AF,137
2170,2072,RJ,4259
1128,1382,AF,137
3462,1804,AA,24
1147,5693,B5,2395
1953,1932,UP,1403
3486,3759,UA,5209
3720,3495,AS,439
2895,2897,3P,5002
1561,1678,AB,214
1128,3989,MS,2143
3374,3387,CZ,1767
458,1525,FR,4296
1218,1074,3O,9818
3646,1678,LX,4559
1448,1613,AB,214
1892,193,AV,515
2276,3035,GE,5038
1682,6753,TK,4951
2939,4029,PS,5282
3316,3250,GA,2520
6141,2948,I8,18828
8428,6139,UR,15814
3376,4033,8L,2942
478,552,BE,2421
3024,2279,UL,4349
629,1561,LG,3329
346,1551,EN,807
266,260,W3,20976
3992,2264,CI,1756
2548,2538,AD,13983
1682,4330,IR,2922
2537,2551,AD,13983
918,933,MD,1066
5932,4331,EP,2923
8,18,NY,896
2222,2179,PK,3871
3304,3267,AK,576
657,8414,FR,4296
3550,1881,UA,5209
1474,1553,FR,4296
3904,3905,JT,3290
2191,2910,G9,329
3752,3845,AA,24
5914,4242,NF,524
517,1359,FR,4296
2926,4029,UN,5067
1538,1208,OU,1925
1229,1057,AZ,596
3752,3731,AA,24
3383,6379,3U,4608
3382,6400,9C,15999
2618,2612,AD,13983
1056,1253,FR,4296
3514,3462,AA,24
6992,3720,AS,439
6505,3442,G4,35
5529,160,MO,502
6140,6143,4G,2524
37,32,5T,1623
1520,1423,U2,2297
1229,2816,UX,90
591,3998,HV,5039
3817,3484,AA,24
880,797,BP,683
3374,6380,CA,751
1064,1074,AT,4248
912,1177,PW,4031
1072,1386,AT,4248
3332,3361,JQ,3052
3908,3919,JT,3290
3645,3729,DL,2009
2440,2564,G3,1790
5952,345,ST,2547
2974,2979,7J,9531
1386,503,AF,137
3395,6341,KN,10741
5762,3645,DL,2009
2188,273,EK,2183
1678,1230,LX,4559
1056,2939,PS,5282
3373,3384,CZ,1767
644,737,DY,3737
189,45,AC,330
2074,2214,NL,4311
3941,1472,A3,96
1107,1382,ET,2220
3488,1382,AF,137
3084,3093,6E,2850
1265,591,HV,5039
2637,2548,AD,13983
6351,3371,CZ,1767
1074,340,AT,4248
3880,3877,G4,35
4029,4166,ST,2547
3920,3240,JT,3290
2709,2725,9R,4691
2064,2062,SV,4533
2949,6111,D2,20270
3878,3524,NK,4687
5928,2131,EP,2923
923,933,MD,1066
3156,3077,CX,1680
1488,517,LS,3026
1145,1107,ET,2220
1526,1514,AZ,596
3406,2287,JL,2987
3945,3577,AS,439
4109,3369,CZ,1767
2194,1382,WY,3778
6139,4111,UR,15814
2570,2528,AD,13983
478,3714,UA,5209
3830,4292,AA,24
4063,3877,G4,35
4325,663,WF,5439
2082,2064,BG,1359
3998,1247,UX,90
5418,6758,IE,4797
5862,1959,GZ,4234
2272,2259,GE,5038
3717,3462,AA,24
2057,507,AA,24
1324,1386,AF,137
2442,2470,AR,412
1606,465,U2,2297
492,1524,U2,2297
1508,1526,AP,240
352,1055,DE,1868
1054,344,4U,2548
2345,2334,JL,2987
2072,3967,UE,3589
3670,3676,AA,24
1569,1678,JP,83
1279,1386,T7,4965
1107,3980,IY,5496
1724,1701,8Q,3788
3752,580,AA,24
951,907,DT,5133
1529,502,U2,2297
2908,2918,DV,4840
3393,11051,QR,4091
3877,3685,G4,35
6492,1353,AH,794
679,580,KL,3090
3024,1382,UL,4349
1229,1551,IB,2822
3617,5742,G4,35
2276,2337,CI,1756
1779,4304,OJ,3826
231,1335,AH,794
2442,2461,AR,412
1793,1824,4O,17885
3876,3520,AA,24
3608,3878,B6,3029
1512,1563,IB,2822
3917,3940,GA,2520
11051,1175,QR,4091
3698,3646,3M,20710
4374,4029,S7,4329
421,669,AY,2350
1209,4198,FR,4296
2985,1196,FB,1548
1054,353,FR,4296
3849,3494,UA,5209
3752,3864,AA,24
3849,3862,FL,1316
338,7447,AB,214
3386,4108,CA,751
3393,3179,3U,4608
2997,3494,AI,218
599,302,EI,837
3608,3858,DL,2009
3364,3830,AA,24
1665,2179,EY,2222
5445,5442,GL,921
1910,146,AC,330
1901,193,AC,330
1229,1058,IB,2822
1825,1796,AM,321
4302,3885,CZ,1767
3383,6403,CZ,1767
3858,3712,DL,2009
1525,1066,FR,4296
2370,2372,7C,2994
1187,1120,U7,3721
3714,1852,UA,5209
3858,3817,DL,2009
1055,4198,FR,4296
2397,2057,GF,2638
3387,2264,BR,2091
585,1352,FR,4296
3941,4029,A3,96
1968,5885,SB,139
3797,3817,B6,3029
7546,2104,EP,2923
73,1852,TS,1317
6271,3361,ZL,4178
2442,2490,AR,412
2359,2316,JL,2987
1626,346,AB,214
1678,1264,2L,2750
3488,3550,DL,2009
337,1423,U2,2297
580,523,BE,2421
3391,6387,FM,4609
3877,3660,WN,4547
2890,6080,9K,1629
1715,340,DE,1868
3453,3858,FL,1316
1056,344,AB,214
2179,2082,EY,2222
4089,3858,DL,2009
3304,2908,KC,1006
599,680,FR,4296
1871,1852,AM,321
2179,2206,AZ,596
4111,6140,UR,15814
7519,3371,BK,4026
2151,2131,EP,2923
3393,3157,FD,4947
1054,523,FR,4296
4141,3269,AK,576
3385,3389,GS,690
3385,2370,MF,5484
3731,3458,WN,4547
3678,3577,AA,24
351,1678,AB,214
1055,1525,FR,4296
3484,3320,AA,24
3670,3848,AA,24
2528,7364,AD,13983
1367,1212,FR,4296
3722,3494,B6,3029
3375,6351,CZ,1767
1489,340,ET,2220
1128,2176,J9,2993
1606,537,FR,4296
9846,3383,GS,690
421,446,AY,2350
601,492,FR,4296
1324,1403,V7,20577
3351,3355,QF,4089
6393,2276,AE,3392
2452,2509,8R,5188
1218,1056,FR,4296
5891,1987,VT,692
492,679,W6,5461
3690,3645,DL,2009
3454,3550,UA,5209
3646,3645,DL,2009
146,1218,TS,1317
3646,3797,AA,24
4014,3462,WN,4547
507,3858,AF,137
3370,3035,CZ,1767
2650,2641,LA,3200
3876,3473,AA,24
3076,3239,BG,1359
302,3714,LH,3320
2327,3121,NX,316
7453,5780,PC,3926
6147,2965,SZ,10122
2937,9026,2G,1654
3215,3237,W9,970
3830,3533,AA,24
5935,4331,IR,2922
1229,1613,AB,214
111,193,AC,330
1322,345,AB,214
517,1197,LS,3026
3393,6367,HU,2660
1538,302,SN,1531
4166,1636,FR,4296
8781,3395,3U,4608
3513,3670,AA,24
1229,1354,IB,2822
2384,2388,NU,2990
1682,1706,PC,3926
1524,1903,BV,1463
665,666,SK,4319
3515,3697,DL,2009
4167,4356,G4,35
1218,338,IB,2822
5582,665,WF,5439
1480,3941,A2,19804
1474,502,TO,8745
2397,3179,5J,1683
737,724,DY,3737
3469,4384,UA,5209
1418,1324,AF,137
4028,7056,G4,35
2072,3797,SV,4533
4189,2370,OZ,28
2397,2429,5J,1683
4330,3964,EP,2923
160,146,AC,330
1762,1871,CM,1889
548,1225,FR,4296
1230,628,DY,3737
585,1489,W6,5461
3577,3533,AS,439
7213,3599,7H,16726
1678,680,K2,2245
3406,2322,JL,2987
3383,6387,CZ,1767
2308,2276,CI,1756
1515,355,FR,4296
1553,1519,FR,4296
4362,6110,5N,503
4355,7056,G4,35
580,629,KL,3090
3393,3378,3U,4608
342,1612,AB,214
2912,4029,GY,9620
6298,6241,ZL,4178
1892,3533,NK,4687
8082,3372,G5,15837
3035,2276,GE,5038
3559,3462,AA,24
1208,2985,SU,130
2992,4029,S7,4329
1892,3682,DL,2009
1538,1212,FR,4296
3370,7519,CZ,1767
2452,2650,LA,3200
3469,3948,UA,5209
2194,3153,9W,3000
1538,1657,W6,5461
3517,3448,9K,1629
1460,1399,HQ,2684
337,1051,DE,1868
302,1194,FB,1548
6434,3371,GS,690
1209,355,FR,4296
1208,502,U2,2297
3697,3570,AA,24
1636,1353,FR,4296
3378,3374,HU,2660
1555,517,LS,3026
1701,4357,KC,1006
1636,346,S4,4304
1739,1737,JU,19582
2975,1579,U6,5234
3830,3697,AA,24
1804,1852,VB,10646
1423,1359,U2,2297
3369,4108,CA,751
3316,3370,AF,137
1382,1059,AF,137
4335,3682,3M,20710
6426,3533,B6,3029
3645,1953,DL,2009
3379,6345,GS,690
2279,4380,CZ,1767
2912,2968,QH,882
